region,subregion,country,value
Oceania,Oceania,,388668
Africa,Northern Africa,,131293
Africa,Eastern Africa,,55906
Africa,Middle Africa,,96041
Africa,Southern Africa,,83313
Africa,Western Africa,,124333
Americas,Northern America,,961163
Americas,Caribbean,,13295
Americas,Central America,,134728
Americas,South America,,570289
Asia,Central Asia,,94979
Asia,Eastern Asia,,388402
Asia,South-eastern Asia,,551454
Asia,Southern Asia,,247154
Asia,Western Asia,,1127138
Europe,Eastern Europe,,593168
Europe,Northern Europe,,519326
Europe,Southern Europe,,333790
Europe,Western Europe,,1012795
Asia,Southern Asia,Afghanistan,445
Europe,Southern Europe,Albania,1090
Africa,Northern Africa,Algeria,54438
Europe,Southern Europe,Andorra,24
Africa,Middle Africa,Angola,41719
Americas,Caribbean,Antigua and Barbuda,11
Americas,South America,Argentina,49648
Asia,Western Asia,Armenia,6704
Oceania,Oceania,Australia,340678
Europe,Western Europe,Austria,36277
Asia,Western Asia,Azerbaijan,31343
Americas,Caribbean,Bahamas,268
Asia,Western Asia,Bahrain,19189
Asia,Southern Asia,Bangladesh,2143
Americas,Caribbean,Barbados,249
Europe,Eastern Europe,Belarus,14803
Europe,Western Europe,Belgium,140794
Americas,Central America,Belize,440
Africa,Western Africa,Benin,3565
Asia,Southern Asia,Bhutan,390
Americas,South America,Bolivia,10601
Europe,Southern Europe,Bosnia and Herzegovina,2501
Africa,Southern Africa,Botswana,5746
Americas,South America,Brazil,255681
Asia,South-eastern Asia,Brunei Darussalam,9659
Europe,Eastern Europe,Bulgaria,20093
Africa,Western Africa,Burkina Faso,4687
Africa,Eastern Africa,Burundi,176
Africa,Western Africa,Cape Verde,44
Asia,South-eastern Asia,Cambodia,4501
Africa,Middle Africa,Cameroon,5159
Americas,Northern America,Canada,302705
Africa,Middle Africa,Central African Republic,136
Africa,Middle Africa,Chad,4497
Americas,South America,Chile,80756
Asia,Eastern Asia,China,216745
Americas,South America,Colombia,41760
Africa,Eastern Africa,Comoros,19
Africa,Middle Africa,Congo,7834
Americas,Central America,Costa Rica,6112
Africa,Western Africa,Côte d'Ivoire,16813
Europe,Southern Europe,Croatia,9768
Americas,Caribbean,Cuba,1187
Asia,Western Asia,Cyprus,2198
Europe,Eastern Europe,Czechia,25772
Asia,Eastern Asia,DPR Korea,66
Africa,Middle Africa,DR Congo,22153
Europe,Northern Europe,Denmark,37293
Africa,Eastern Africa,Djibouti,2286
Americas,Caribbean,Dominica,9
Americas,Caribbean,Dominican Republic,4860
Americas,South America,Ecuador,31020
Africa,Northern Africa,Egypt,24414
Americas,Central America,El Salvador,1826
Africa,Middle Africa,Equatorial Guinea,3941
Africa,Eastern Africa,Eritrea,499
Europe,Northern Europe,Estonia,7210
Africa,Southern Africa,Eswatini,872
Africa,Eastern Africa,Ethiopia,3301
Oceania,Oceania,Fiji,900
Europe,Northern Europe,Finland,22008
Europe,Western Europe,France,141016
Africa,Middle Africa,Gabon,10586
Africa,Western Africa,Gambia,175
Asia,Western Asia,Georgia,2479
Europe,Western Europe,Germany,216798
Africa,Western Africa,Ghana,17229
Europe,Southern Europe,Greece,34446
Americas,Caribbean,Grenada,21
Americas,Central America,Guatemala,8394
Africa,Western Africa,Guinea,8962
Africa,Western Africa,Guinea-Bissau,239
Americas,South America,Guyana,14033
Americas,Caribbean,Haiti,65
Americas,Central America,Honduras,6148
Europe,Eastern Europe,Hungary,21939
Europe,Northern Europe,Iceland,5911
Asia,Southern Asia,India,177614
Asia,South-eastern Asia,Indonesia,150825
Asia,Southern Asia,Iran,52692
Asia,Western Asia,Iraq,111777
Europe,Northern Europe,Ireland,21830
Asia,Western Asia,Israel,13080
Europe,Southern Europe,Italy,118825
Americas,Caribbean,Jamaica,1820
Asia,Eastern Asia,Japan,65065
Asia,Western Asia,Jordan,3325
Asia,Central Asia,Kazakhstan,66876
Africa,Eastern Africa,Kenya,5281
Oceania,Oceania,Kiribati,14
Asia,Western Asia,Kuwait,70988
Asia,Central Asia,Kyrgyzstan,2395
Asia,South-eastern Asia,Lao PDR,5832
Europe,Northern Europe,Latvia,9353
Asia,Western Asia,Lebanon,2154
Africa,Southern Africa,Lesotho,467
Africa,Western Africa,Liberia,909
Africa,Northern Africa,Libya,33015
Europe,Northern Europe,Lithuania,16154
Europe,Western Europe,Luxembourg,2944
Africa,Eastern Africa,Madagascar,2330
Africa,Eastern Africa,Malawi,795
Asia,South-eastern Asia,Malaysia,104378
Asia,Southern Asia,Maldives,304
Africa,Western Africa,Mali,5225
Europe,Southern Europe,Malta,1042
Oceania,Oceania,Marshall Islands,10
Africa,Western Africa,Mauritania,3906
Africa,Eastern Africa,Mauritius,1125
Americas,Central America,Mexico,98093
Oceania,Oceania,Micronesia,131
Asia,Eastern Asia,Mongolia,14352
Europe,Southern Europe,Montenegro,507
Africa,Northern Africa,Morocco,11401
Africa,Eastern Africa,Mozambique,7920
Asia,South-eastern Asia,Myanmar,8513
Africa,Southern Africa,Namibia,4881
Oceania,Oceania,Nauru,36
Asia,Southern Asia,Nepal,601
Europe,Western Europe,Netherlands,338823
Oceania,Oceania,New Zealand,34410
Americas,Central America,Nicaragua,4227
Africa,Western Africa,Niger,1071
Africa,Western Africa,Nigeria,54918
Europe,Southern Europe,North Macedonia,1546
Europe,Northern Europe,Norway,176203
Asia,Western Asia,Oman,44236
Asia,Southern Asia,Pakistan,8754
Oceania,Oceania,Palau,2
Americas,Central America,Panama,9490
Oceania,Oceania,Papua New Guinea,11998
Americas,South America,Paraguay,9247
Americas,South America,Peru,60000
Asia,South-eastern Asia,Philippines,15876
Europe,Eastern Europe,Poland,81579
Europe,Southern Europe,Portugal,21419
Asia,Western Asia,Qatar,93437
Asia,Eastern Asia,Republic of Korea,92174
Europe,Eastern Europe,Moldova,2223
Europe,Eastern Europe,Romania,21947
Europe,Eastern Europe,Russian Federation,364349
Africa,Eastern Africa,Rwanda,2204
Americas,Caribbean,Saint Kitts and Nevis,5
Americas,Caribbean,Saint Lucia,56
Americas,Caribbean,Saint Vincent and the Grenadines,22
Oceania,Oceania,Samoa,18
Africa,Middle Africa,Sao Tome and Principe,17
Asia,Western Asia,Saudi Arabia,265713
Africa,Western Africa,Senegal,4268
Europe,Southern Europe,Serbia,10189
Africa,Eastern Africa,Seychelles,500
Africa,Western Africa,Sierra Leone,1102
Asia,South-eastern Asia,Singapore,118081
Europe,Eastern Europe,Slovakia,12799
Europe,Southern Europe,Slovenia,11064
Oceania,Oceania,Solomon Islands,412
Africa,Eastern Africa,Somalia,881
Africa,Southern Africa,South Africa,71347
Africa,Eastern Africa,South Sudan,874
Europe,Southern Europe,Spain,121370
Asia,Southern Asia,Sri Lanka,4212
Asia,Western Asia,Palestine,544
Africa,Northern Africa,Sudan,3786
Americas,South America,Suriname,2094
Europe,Northern Europe,Sweden,48449
Europe,Western Europe,Switzerland,136143
Asia,Western Asia,Syria,1875
Asia,Central Asia,Tajikistan,1853
Asia,South-eastern Asia,Thailand,83340
Asia,South-eastern Asia,Timor-Leste,196
Africa,Western Africa,Togo,1221
Oceania,Oceania,Tonga,8
Americas,Caribbean,Trinidad and Tobago,4722
Africa,Northern Africa,Tunisia,4239
Asia,Western Asia,Türkiye,63497
Asia,Central Asia,Turkmenistan,11851
Oceania,Oceania,Tuvalu,0
Africa,Eastern Africa,Uganda,4714
Europe,Eastern Europe,Ukraine,27665
Asia,Western Asia,United Arab Emirates,394247
Europe,Northern Europe,United Kingdom,174914
Africa,Eastern Africa,Tanzania,6793
Americas,Northern America,United States of America,658457
Americas,South America,Uruguay,8255
Asia,Central Asia,Uzbekistan,12004
Oceania,Oceania,Vanuatu,50
Americas,South America,Venezuela,7194
Asia,South-eastern Asia,Viet Nam,50253
Asia,Western Asia,Yemen,352
Africa,Eastern Africa,Zambia,9842
Africa,Eastern Africa,Zimbabwe,6363
